author_name,title_counts
"Christine, de Pisan, ca. 1364-ca. 1431.?",2
Church of England. Province of Canterbury. Archbishop (1559-1575 : Parker)?,7
Church of England. Province of Canterbury. Archbishop (1633-1645 : Laud)?,12
Church of England.?,138
Church of England.?,87
Church of England.?,45
Church of England.?,76
Church of England.?,53
Church of England.?,137
Church of England.?,42
Church of England.?,45
Church of England.?,40
Church of England.?,47
Church of England.?,78
Church of England.?,48
Church of England.?,46
Church of England.?,20
Church of Scotland. General Assembly. Commission.?,19
Church of Scotland. General Assembly. Commission.?,44
Church of Scotland. General Assembly.?,27
Church of Scotland. General Assembly.?,36
Church of Scotland.?,12
Church of Scotland.?,12
Church of Scotland.?,14
"Churchyard, Thomas, 1520?-1604.?",6
"Churchyard, Thomas, 1520?-1604.?",19
"Churchyard, Thomas, 1520?-1604.?",10
"Cicero, Marcus Tullius.?",2
"Cicero, Marcus Tullius.?",8
"Cicero, Marcus Tullius.?",9
City of London (England). Court of Common Council.?,8
City of London (England). Court of Common Council.?,23
City of London (England). Court of Common Council.?,16
City of London (England). Court of Common Council.?,14
City of London (England). Court of Common Council.?,13
City of London (England). Lord Mayor.?,10
City of London (England).?,6
City of London (England).?,24
City of London (England).?,14
City of London (England).?,10
"Clagett, William, 1646-1688.?",13
"Clapham, Henoch.?",24
"Clarke, Samuel, 1599-1682.?",21
"Clarke, Samuel, 1599-1682.?",11
"Claude, Jean, 1619-1687.?",11
"Clere-Ville, BartholomÇ de.?",1
"Cleveland, John, 1613-1658.?",23
"Cleveland, John, 1613-1658.?",13
"Coale, Josiah, 1632?-1668.?",10
"Cocker, Edward, 1631-1675.?",10
"Cocker, Edward, 1631-1675.?",11
"Cocker, Edward, 1631-1675.?",11
"Coke, Edward, Sir, 1552-1634.?",11
"Coke, Edward, Sir, 1552-1634.?",20
"Colbatch, John, Sir, 1670-1729.?",12
"Coles, Elisha, 1640?-1680.?",16
"Colet, John, 1467?-1519.?",5
"Colledge, Stephen, 1635?-1681.?",11
"Collier, Jeremy, 1650-1726.?",13
"Collier, Thomas, fl. 1691.?",21
"Collinges, John, 1623-1690.?",20
"Comber, Thomas, 1645-1699.?",14
"Comber, Thomas, 1645-1699.?",19
"Comber, Thomas, 1645-1699.?",21
Company of Scotland Trading to Africa and the Indies.?,19
Company of Scotland Trading to Africa and the Indies.?,14
"CondÇ, Louis, prince de, 1530-1569.?",6
"Confraternity of St. John (Beverley, England)?",1
"Congreve, William, 1670-1729.?",23
"Constable, John, epigrammatist.?",1
"Cooke, Alexander, 1564-1632.?",11
"Cooper, Thomas, 1517?-1594.?",8
"Cooper, Thomas, fl. 1626.?",12
"Copland, Robert, fl. 1508-1547.?",1
"Cosin, Richard, 1549?-1597.?",8
"Cotton, Charles, 1630-1687.?",11
"Cotton, Clement.?",11
"Cotton, John, 1584-1652.?",19
"Cotton, John, 1584-1652.?",23
"Cotton, John, 1584-1652.?",12
"Cotton, Robert, Sir, 1571-1631.?",11
"Coverdale, Miles, 1488-1568.?",6
"Cowley, Abraham, 1618-1667.?",11
"Cowper, William, 1568-1619.?",19
"Cowper, William, 1568-1619.?",16
"Cranmer, Thomas, 1489-1556.?",11
"Crimsal, Richard.?",26
"Croft, Herbert, 1603-1691.?",14
"Crofton, Zachary, 1625 or 6-1672.?",16
"Cromwell, Oliver, 1599-1658.?",25
"Crook, John, 1617-1699.?",15
"Crook, John, 1617-1699.?",12
"Crowley, Robert, 1518?-1588.?",12
"Crowley, Robert, 1518?-1588.?",8
"Crown, Mr. 1640?-1712.?",10
"Culpeper, Nicholas, 1616-1654.?",16
"Culpeper, Nicholas, 1616-1654.?",18
"Culpeper, Nicholas, 1616-1654.?",13
"Culpeper, Nicholas, 1616-1654.?",10
"Culverwell, Ezekiel, 1553 or 4-1631.?",11
"Culverwell, Ezekiel, 1553 or 4-1631.?",10
"Curteys, Richard, 1532?-1582.?",6
"Cyprian, Saint, Bishop of Carthage.?",5
D. B. fl. 1650-1660.?,12
D. W.?,16
"Dade, William.?",10
"Dade, William.?",12
"Dangerfield, Thomas, 1650?-1685.?",11
"Daniel, Samuel, 1562-1619.?",24
"Davies, John, 1565?-1618.?",13
"Davies, John, Sir, 1569-1626.?",12
"De Laune, Thomas, d. 1685.?",10
"Defoe, Daniel, 1661?-1731.?",18
"Dekker, Thomas, ca. 1572-1632.?",42
"Dekker, Thomas, ca. 1572-1632.?",15
"Dekker, Thomas, ca. 1572-1632.?",14
"Deloney, Thomas, 1543?-1600.?",6
"Deloney, Thomas, 1543?-1600.?",14
"Denison, John, d. 1629.?",12
"Denison, Stephen, d. 1649 or 50.?",10
"Dent, Arthur, d. 1607.?",15
"Dent, Arthur, d. 1607.?",40
"Dent, Arthur, d. 1607.?",17
"Dent, Arthur, d. 1607.?",19
"Dering, Edward, 1540?-1576.?",37
"Dering, Edward, 1540?-1576.?",34
"Dering, Edward, 1540?-1576.?",13
"Dering, Edward, Sir, 1598-1644.?",21
"Dewsbury, William, 1621-1688.?",11
"Dickson, David, 1583?-1663.?",14
"Digby, Kenelm, Sir, 1603-1665.?",10
"Digges, Leonard, d. 1571??",9
"Digges, Leonard, d. 1571??",6
"Dod, John, 1549?-1645.?",37
"Dod, John, 1549?-1645.?",17
"Dod, John, 1549?-1645.?",14
"Donatus, Aelius.?",1
"Donne, John, 1572-1631.?",16
"Donne, John, 1572-1631.?",22
"Donne, John, 1572-1631.?",10
"Doolittle, Thomas, 1632?-1707.?",10
"Doolittle, Thomas, 1632?-1707.?",10
"Dorrington, Theophilus, d. 1715.?",11
"Dove, John, 1560 or 61-1618.?",11
"Dove, Jonathan.?",13
"Dove, Jonathan.?",10
"Downame, John, d. 1652.?",11
"Downame, John, d. 1652.?",13
"Drayton, Michael, 1563-1631.?",6
"Drayton, Michael, 1563-1631.?",30
"Drayton, Michael, 1563-1631.?",10
"Drummond, William, 1585-1649.?",11
"Dryden, John, 1631-1700.?",29
"Dryden, John, 1631-1700.?",22
"Dryden, John, 1631-1700.?",58
"Dryden, John, 1631-1700.?",39
"Dryden, John, 1631-1700.?",43
"Du Bartas, Guillaume de Salluste, seigneur, 1544-1590.?",17
"Du Moulin, Peter, 1601-1684.?",10
"Du Moulin, Pierre, 1568-1658.?",11
"Du Moulin, Pierre, 1568-1658.?",19
"Du Moulin, Pierre, 1568-1658.?",15
"Duffett, Thomas.?",11
"Dunbar, William, 1460?-1520??",4
"D'Urfey, Thomas, 1653-1723.?",10
"D'Urfey, Thomas, 1653-1723.?",30
"D'Urfey, Thomas, 1653-1723.?",16
"D'Urfey, Thomas, 1653-1723.?",25
"D'Urfey, Thomas, 1653-1723.?",10
"Durham, James, 1622-1658.?",12
"Dury, John, 1596-1680.?",11
"Dury, John, 1596-1680.?",16
"Dyer, William, d. 1696.?",11
"Dyke, Daniel, d. 1614.?",15
"Dyke, Jeremiah, 1584-1639.?",13
"Eachard, John, 1636?-1697.?",11
"Earle, John, 1601?-1665.?",10
"Echard, Laurence, 1670?-1730.?",10
"Edmondes, Clement, Sir, 1566 or 7-1622.?",10
"Edmund, of Abingdon, Saint, Archbishop of Canterbury, ca. 1170-1240.?",3
"Edwards, John, 1637-1716.?",16
"Elderton, William, d. 1592??",8
"Eleanor, Lady, d. 1652.?",45
"Elton, Edward, d. 1624.?",13
"Elyot, Thomas, Sir, 1490?-1546.?",40
"Elyot, Thomas, Sir, 1490?-1546.?",7
"Elys, Edmund, ca. 1634-ca. 1707.?",16
England and Wales. Army. Council.?,24
England and Wales. Army.?,12
England and Wales. Army.?,29
England and Wales. Commissioners of Subsidy.?,3
England and Wales. Council of State.?,14
England and Wales. Council of State.?,10
"England and Wales. Laws, statutes, etc.?",12
England and Wales. Lord Protector (1653-1658 : O. Cromwell)?,58
England and Wales. Lord Protector (1653-1658 : O. Cromwell)?,21
England and Wales. Lords Justices.?,22
England and Wales. Parliament. House of Commons.?,166
England and Wales. Parliament. House of Commons.?,46
England and Wales. Parliament. House of Commons.?,17
England and Wales. Parliament. House of Commons.?,19
England and Wales. Parliament. House of Commons.?,12
England and Wales. Parliament. House of Commons.?,10
England and Wales. Parliament. House of Commons.?,12
England and Wales. Parliament. House of Lords.?,10
England and Wales. Parliament. House of Lords.?,12
