author_name,,,,,grand_total
"Ashmole, Elias, 1617-1692.",,,,,2
Authoress of Emeline.,,,,,2
"Baum, L. Frank (Lyman Frank), 1856-1919",,,,,2
"Beilby, Ralph, 1743-1817.",,,,,2
"Belloste, Augustin, 1654-1730.",,,,,2
"Berkeley, George, 1733-1795.",,,,,2
"Brontë, Anne, 1820-1849",,,,,2
"Browne, Thomas, Sir, 1605-1682",,,,,2
"Bulstrode, Richard, Sir, 1610-1711.",,,,,2
"Chaigneau, William, 1709-1781.",,,,,2
"Chaucer, Geoffrey, d. 1400",,,,,2
"Clive, Mrs. (Catherine), 1711-1785.",,,,,2
"Cockburn, W. (William), 1669-1739.",,,,,2
"Colman, George, 1762-1836.",,,,,2
"Cowper, William, 1731-1800.",,,,,2
"Crane, Stephen, 1871-1900",,,,,2
"Defoe, Daniel, 1661?-1731",,,,,2
"Doddridge, Philip, 1702-1751.",,,,,2
"Donaldson, J. (John), 1737-1801.",,,,,2
"Edgeworth, Maria, 1767-1849.",,,,,2
"Equiano, Olaudah, b. 1745.",,,,,2
"Erasmus, Desiderius, d. 1536",,,,,2
"Firishtah, Muḥammad Qāsim Hindū Shāh Astarābādī.",,,,,2
"Gay, John, 1685-1732.",,,,,2
"Hartson, Hall, d. 1773.",,,,,2
"Hawthorne, Nathaniel, 1804-1864",,,,,2
"Hayley, William, 1657-1715.",,,,,2
"Jardine, Alexander, d. 1799.",,,,,2
"John and William Cunningham and Company (Brewers : Glasgow, Scotland)",,,,,2
"Kelley, Hugh, 1739-1777.",,,,,2
"Lawrence, D.H. (David Herbert), 1885-1930",,,,,2
"Leland, Thomas, 1722-1785.",,,,,2
"Lennox, Charlotte, 1729-1804.",,,,,2
"Lennox, Charlotte, 1729-1804. Trifler.",,,,,2
"Malthus, T. R. (Thomas Robert), 1766-1834.",,,,,2
"Mead, Richard, 1673-1754.",,,,,2
"Montgomery, L. M. (Lucy Maud), 1874-1942",,,,,2
"Muir, John, 1838-1914",,,,,2
"Musgrave, Samuel, 1732-1780.",,,,,2
"Otis, James, 1725-1783",,,,,2
Pindaromastix.,,,,,2
"Pott, Percivall, 1714-1788.",,,,,2
"Reynolds, Frederick, 1764-1841.",,,,,2
"Richardson, Samuel, fl. 1643-1658.",,,,,2
"Sheridan, Richard, d. 1793.",,,,,2
"Sidney, Algernon, 1622-1683.",,,,,2
"Smith, Hugh, 1736?-1789.",,,,,2
"Spenser, Edmund, 1552?-1599",,,,,2
"Spilsbury, Francis.",,,,,2
"Stedman, John Gabriel, 1744-1797.",,,,,2
"Sterne, Laurence, 1713-1768",,,,,2
"Tickell, Richard, 1751-1793.",,,,,2
"Townley, James, 1714-1778.",,,,,2
Unknown,,,,,2
"Vaughan, Thomas, fl. 1772-1820.",,,,,2
"Watts, Isaac, 1674-1748.",,,,,2
"Wharton, Edith, 1862-1937",,,,,2
"White, Gilbert, 1720-1793.",,,,,2
"Wordsworth, William, 1770-1850",,,,,2
"Abbot, George, 1562-1633.",,,,,1
"Abbott, Jacob, 1803-1879",,,,,1
"Ade, George, 1866-1944",,,,,1
"Aitken, John, d. 1790.",,,,,1
"Alcott, Louisa May, 1832-1888",,,,,1
"Alden, Henry Mills, 1836-1919 (ed.)",,,,,1
"Alderson, John, 1757-1829.",,,,,1
"Allen, Ethan, 1738-1789",,,,,1
"Amhurst, N. (Nicholas), 1697-1742.",,,,,1
"Anderson, John, ca. 1730-1804.",,,,,1
Anonymous,,,,,1
"Anstey, Christopher, 1724-1805.",,,,,1
Apothecary.,,,,,1
Aristotle.,,,,,1
"Armstrong, John, 1709-1779.",,,,,1
"Arnaud de Ronsil, Georges, 1698-1774.",,,,,1
"Atkins, John, 1685-1757.",,,,,1
Author of The practical scheme.,,,,,1
"Avison, Charles, 1710-1770.",,,,,1
"Ayscough, James, d. ca. 1762.",,,,,1
"Bailey, J. (John), 1750-1819.",,,,,1
"Balestier, Wolcott, 1861-1891.",,,,,1
"Banyer, Henry, fl. 1718-1736.",,,,,1
"Baratier, François, 1682-1751.",,,,,1
"Barbers' Company (London, England)",,,,,1
"Barker, John, b. 1730.",,,,,1
"Bateson, Peter.",,,,,1
"Beaumont, John, d. 1731.",,,,,1
"Bell, Benjamin, 1749-1806.",,,,,1
"Bellinger, Francis, d. 1721.",,,,,1
"Betterton, Thomas, 1635?-1710.",,,,,1
"Beverley, Robert, ca. 1673-1722",,,,,1
"Bickerstaff, Isaac, Jun.",,,,,1
"Bickerstaff, Isaac.",,,,,1
"Bierce, Ambrose, 1842-1914?",,,,,1
"Blane, Gilbert, Sir, 1749-1834.",,,,,1
"Bloomfield, Robert, 1766-1823.",,,,,1
"Bond, William, d. 1735.",,,,,1
"Borthwick, George.",,,,,1
"Boyesen, Hjalmar Hjorth, 1848-1895",,,,,1
"Brand, Hannah, d. 1821.",,,,,1
"Brand, John, 1668?-1738.",,,,,1
"Brand, Robert.",,,,,1
"Brett-Smith, H. F. B. (Herbert Francis Brett) (ed.)",,,,,1
"Bromehead, Joseph, b. 1747 or 8.",,,,,1
"Brontë, Emily, 1818-1848",,,,,1
"Brown, Charles, fl. 1797-1799.",,,,,1
"Brown, John, 1752-1787.",,,,,1
"Brown, Sarah, fl. 1777-1779.",,,,,1
"Browne, Joseph, fl. 1700-1721.",,,,,1
"Buchan, William, 1729-1805.",,,,,1
"Bunyan, John",,,,,1
"Butler, Sarah, Mrs.",,,,,1
"Cadogan, William, 1711-1797.",,,,,1
"Carleton, George, fl. 1728.",,,,,1
"Cayley, George, Sir, 1773-1857",,,,,1
"Chettle, Henry,(ca. 1560-1607)",,,,,1
"Cibber, Colley, 1671-1757.",,,,,1
"Clare, Peter, 1738-1786.",,,,,1
"Cleland, John, 1709-1789",,,,,1
Clement C. Moore,,,,,1
"Cockell, William.",,,,,1
"Colbatch, John, Sir, 1670-1729.",,,,,1
"College, Academy, and Charitable Schools of Philadelphia.",,,,,1
"Consett, Matthew.",,,,,1
"Cooper, James Fenimore, 1789-1851",,,,,1
"Cornaro, Luigi, 1475-1566.",,,,,1
"Cotton, Nathaniel, 1705-1788.",,,,,1
"Coxe, William, 1747-1828.",,,,,1
"Crane, John, physician at Dorchester.",,,,,1
"Crawford, George, fl. 1710.",,,,,1
"Crosfeild, Robert Thomas, 1759-1802.",,,,,1
"Cugoano, Ottobah.",,,,,1
"Culley, George, 1735-1813.",,,,,1
"Cunningham, John, brewer.",,,,,1
"Cunningham, John, of Deptford.",,,,,1
"Cunningham, John, taylor.",,,,,1
"Dampier, Henry.",,,,,1
"Dana, Richard Henry, 1815-1882",,,,,1
"Darwin, Charles, 1809-1882",,,,,1
"Davies, John, 1567-1644.",,,,,1
"Dease, William, 1752?-1798.",,,,,1
"Dekker, Thomas, ca. 1572-1632",,,,,1
"Dekker, Thomas and Middleton, Thomas",,,,,1
"Denman, Thomas, 1733-1815.",,,,,1
"Dickinson, John",,,,,1
"Dictionaries, etc.",,,,,1
"Dobbie, Elliott Van Kirk (ed.)",,,,,1
"Douglas, Robert, Sir, 1694-1770.",,,,,1
"Duck, Arthur.",,,,,1
"Duckett, George, 1684-1732.",,,,,1
"Duncan, Chapman",,,,,1
"Dutton, Thomas, 18th/19th cent.",,,,,1
"Dyer, John, 1652 or 3-1713.",,,,,1
"Dyer, John, d. 1729.",,,,,1
"Earle, James, Sir, 1755-1817.",,,,,1
"Edwards, Jonathan, 1703-1758",,,,,1
"Elyot, Thomas, Sir, 1490?-1546",,,,,1
"Famine, Citizen.",,,,,1
"Farmer, Richard, 1735-1797.",,,,,1
"Farrer, W. (William), d. 1775.",,,,,1
"Ferguson, Adam, 1723-1816.",,,,,1
"Fitzgerald, F. Scott (Francis Scott), 1896-1940",,,,,1
"Flemyng, Malcolm, d. 1764.",,,,,1
"Flower, Henry.",,,,,1
"Foote, Samuel, 1720-1777.",,,,,1
"Forbes of Pitsligo, Alexander Forbes, Lord, 1678-1762.",,,,,1
"Fournel, M. (Jean-François), 1745-1820.",,,,,1
"Franklin, Benjamin, 1706-1790",,,,,1
"Frewen, Thomas, 1704-1791.",,,,,1
Friend to Religious and Civil Liberty.,,,,,1
"Funnell, William.",,,,,1
"Garthshore, Maxwell, 1732-1812.",,,,,1
"Gay, John, 1685-1732",,,,,1
General Infirmary at Leeds.,,,,,1
"Gibbon, Edward, 1737-1794",,,,,1
"Giffard, Henry, 1699-1772.",,,,,1
"Gilman, Charlotte Perkins, 1860-1935",,,,,1
"Godwin, William, 1756-1836.",,,,,1
"Gough, Strickland, d. 1752.",,,,,1
"Governor, of Addenbrooke's Hospital.",,,,,1
"Gower, John, 1325?-1408",,,,,1
"Gowland, John, d. 1776.",,,,,1
"Graham, James, 1745-1794.",,,,,1
"Grahame, Kenneth, 1859-1932",,,,,1
"Grant, Alexander, d. 1817.",,,,,1
Great Britain. Sovereign (1760-1820 : George III),,,,,1
H. D.,,,,,1
"HaÅ¡ek, Jaroslav, 1883-1923",,,,,1
"Hakluyt, Richard, 1552?-1616",,,,,1
"Hale, John, 18th cent.",,,,,1
"Hamilton, Robert, 1749-1830.",,,,,1
"Harrison, John, fl. 1784-1792.",,,,,1
Harrison & Co.,,,,,1
"Hawkesworth, John, fl. 1782-1778.",,,,,1
Hearty Well-Wisher to Publick Credit.,,,,,1
"Heath, William, 1737-1814.",,,,,1
"Henry, O., 1862-1910",,,,,1
"Henry, Thomas, 1734-1816.",,,,,1
"Hey, Mrs.",,,,,1
"Heysham, John, 1753-1834.",,,,,1
"Hoadly, Benjamin, 1676-1761.",,,,,1
"Hobbes, Thomas, 1588-1679",,,,,1
"Hogarth, William, 1697-1764.",,,,,1
"Hogarth, William, ill. 1697-1764.",,,,,1
"Holwell, J. Z. (John Zephaniah), 1711-1798.",,,,,1
"Home, Everard, Sir, 1756-1832.",,,,,1
"Hopkinson, Francis, 1737-1791.",,,,,1
"Howells, William Dean, 1837-1920",,,,,1
"Howlett, John, 1731-1804.",,,,,1
"Hudibras, Hugh.",,,,,1
"Hutchinson, William, 1715-1801.",,,,,1
"Hutton, Charles, shipmaster in Culross.",,,,,1
"Irving, Washington, 1783-1859",,,,,1
"Jackson, Humphrey, ca. 1717-1801.",,,,,1
"Jardine, L. J., fl. 1795.",,,,,1
"Jenner, Edward, 1749-1823.",,,,,1
"Johnson, Samuel, 1709-1784",,,,,1
"Johnstone, James, 1730?-1802.",,,,,1
"Jones, Henry, fl. 1782.",,,,,1
"Jones, John Gale, 1769-1838.",,,,,1
"Josef Schmied, Claudia Claridge, Rainer Siemund (ed.)",,,,,1
"Keats, John, 1795-1821",,,,,1
"Kelly, Ebenezer Beriah, b. 1783",,,,,1
"Kelly, Hugh.",,,,,1
"Killings, Douglas B. (ed.)",,,,,1
"King, Thomas, fl. 1791.",,,,,1
"King, Thomas.",,,,,1
"Kipling, Rudyard, 1865-1936.",,,,,1
"Krapp, George Philip, 1872-1934",,,,,1
"Kyd, Thomas, 1558-1594",,,,,1
"L'Estrange, Roger, Sir, 1616-1704",,,,,1
"Lambrechts, Arentius Ferdinand.",,,,,1
"Langland, William, 1330?-1400?",,,,,1
"Langley, Gilbert.",,,,,1
Late Member of the Continental Congress.,,,,,1
Late pupil of Dr. Leake's.,,,,,1
"Latham, John, 1697 or 8-1754.",,,,,1
"Latham, John, 1761-1843.",,,,,1
"Law, William, 1686-1761",,,,,1
"Law, William, 1686-1761.",,,,,1
"Leapor, Mrs. (Mary), 1722-1746.",,,,,1
"Leny, R.",,,,,1
"Lettsom, John Coakley, 1744-1815.",,,,,1
"Lewis, Mayer.",,,,,1
"Lind, James, 1736-1812.",,,,,1
"Lloyd, Robert.",,,,,1
"Logan, William, 1747-1772.",,,,,1
London Hospital.,,,,,1
"Lynn, Walter, 1677-1763.",,,,,1
"Lynn, William, 1753-1837.",,,,,1
"MacDonald, John, b. 1741?",,,,,1
"Maiden Hospital (Edinburgh, Scotland)",,,,,1
"Mandeville, Bernard, 1670-1733.",,,,,1
"Manley, Mrs. (Mary de la Rivière), 1663-1724.",,,,,1
Margarete C. Conkling,,,,,1
"Marlowe, Christopher, 1564-1593",,,,,1
"Marra, John.",,,,,1
"Marvell, Andrew, 1621-1678",,,,,1
"Matthias, Ulrich",,,,,1
"Mayhew, Jonathan, 1720-1766",,,,,1
"Merande, D.",,,,,1
"Merry, Robert, 1755-1798.",,,,,1
"Middleton, Thomas, 1580-1627",,,,,1
"Mill, John Stuart, 1806-1873",,,,,1
"Monro, Alexander, 1733-1817.",,,,,1
"Montgomery, Lucy Maud, 1874-1942",,,,,1
"Moore, Edward, 1712-1757.",,,,,1
"More, Thomas, Sir, Saint, 1478-1535",,,,,1
"Morgan, John, 1735-1789.",,,,,1
"Morland, John, M.D.",,,,,1
"Morris, William, 1834-1896",,,,,1
"Moxon, Elizabeth.",,,,,1
"Moxon, Joseph, 1627-1691.",,,,,1
"Muir, James, 1757-1820.",,,,,1
"Mulcaster, Richard, 1530?-1611",,,,,1
"Nettleton, Thomas, 1683-1742.",,,,,1
Newcastle upon Tyne (England). Dispensary.,,,,,1
"Newton, Isaac, Sir, 1642-1727.",,,,,1
"Nolan, William, 18th cent.",,,,,1
"Norris, Thomas, fl. 1780.",,,,,1
"Northcote, James, 1746-1831.",,,,,1
"O'Brien, William, d. 1815.",,,,,1
"Ogden, Bernard, b. 1767.",,,,,1
"Okell, Benjamin.",,,,,1
"Orczy, Baroness Emmuska, 1865-1947",,,,,1
"Osbourne, Lloyd, 1868-1947",,,,,1
"Overton, Benjamin.",,,,,1
Ovid,,,,,1
"Owen, Robert, 1771-1858",,,,,1
"Owen, Wilfred, 1893-1918",,,,,1
"Page, John, fl. 1733-1763.",,,,,1
"Palmer, Samuel, d. 1732.",,,,,1
"Pearson, Richard, 1765-1836.",,,,,1
Person of honour.,,,,,1
"Philadelphos, Theophilos.",,,,,1
Philanthropos.,,,,,1
"Philips, Ambrose, 1674-1749.",,,,,1
"Phillips, David Graham, 1867-1911",,,,,1
"Pinto, Isaac de, 1715-1787.",,,,,1
"Pittis, William, 1674-1724.",,,,,1
"Pix, Mary, 1666-1720.",,,,,1
Pliny the Younger,,,,,1
Plutarch,,,,,1
"Polesworth, Humphry, Sir, 18th cent.",,,,,1
"Pollard, Robert, 1755-1838.",,,,,1
"Polwhele, Richard, 1760-1838",,,,,1
"Pope, Alexander, 1688-1744",,,,,1
"Pope, Alexander, 1763-1835.",,,,,1
"Popple, William, 1701-1764.",,,,,1
"Potter, Beatrix, 1866-1943",,,,,1
"Priestley, Joseph, 1733-1804.",,,,,1
"Pringle, John, Sir, 1707-1782.",,,,,1
"Purney, Thomas, 1695-ca. 1727.",,,,,1
"Puttenham, George, d. 1590",,,,,1
Pythagoras.,,,,,1
"Quincey, Thomas de, 1785-1859",,,,,1
"Radcliffe, Ann Sophia.",,,,,1
"Radcliffe, Mary Ann, 1745?-1810.",,,,,1
"Randall, William.",,,,,1
"Randolph, Mary, 1762-1828",,,,,1
"Reed, Joseph, 1741-1785.",,,,,1
"Rennie, George, 1749-1828.",,,,,1
"Reresby, John, Sir, 1634-1689.",,,,,1
"Richardson, Samuel, d. 1805.",,,,,1
"Rickman, John.",,,,,1
"Rivers, David.",,,,,1
"Roberts, Charles George Douglas, Sir, 1860-1943",,,,,1
"Robins, Benjamin, 1707-1751.",,,,,1
"Robinson, Mary, 1758-1800",,,,,1
