author_name,title_counts
"Guevara, Antonio de, Bp., d. 1545??",14
"Moulton, Thomas.?",14
"Whitford, Richard, fl. 1495-1555??",14
"Catharine Parr, Queen, consort of Henry VIII, King of England, 1512-1548.?",13
"Luther, Martin, 1483-1546.?",13
"Smith, Richard, 1500-1563.?",13
"Crowley, Robert, 1518?-1588.?",12
"Knox, John, ca. 1514-1572.?",12
"Lever, Thomas, 1521-1577.?",12
"Lily, William, 1468?-1522.?",12
"Phayer, Thomas, 1510?-1560.?",12
"Sternhold, Thomas, d. 1549.?",12
"Turner, William, d. 1568.?",12
"Vives, Juan Luis, 1492-1540.?",12
"Cranmer, Thomas, 1489-1556.?",11
England. Sovereign (1509-1547 : Henry VIII)?,11
"Laet, Jaspar, fl. 1530-1544.?",11
"Melanchthon, Philipp, 1497-1560.?",11
"Boorde, Andrew, 1490?-1549.?",10
"Lupset, Thomas, 1495?-1530.?",10
"Record, Robert, 1510?-1558.?",10
"Taverner, Richard, 1505?-1575.?",10
"Brinkelow, Henry, d. 1546.?",9
"Lydgate, John, 1370?-1451??",9
"Zwingli, Ulrich, 1484-1531.?",9
"Chaucer, Geoffrey, d. 1400.?",8
"Cicero, Marcus Tullius.?",8
"Fabyan, Robert, d. 1513.?",8
"Henry VIII, King of England, 1491-1547.?",8
"Huggarde, Miles.?",8
"Morison, Richard, Sir, d. 1556.?",8
Plutarch.?,8
"Ridley, Lancelot, d. 1576.?",8
"Baldwin, William, ca. 1518-1563??",7
"Bomelius, Henricus, 1500?-1570.?",7
"Bradford, John, 1510?-1555.?",7
"John Chrysostom, Saint, d. 407.?",7
"Rhegius, Urbanus, 1489-1541.?",7
"Watson, Thomas, 1513-1584.?",7
"Wied, Hermann von.?",7
"Berners, Juliana, b. 1388??",6
"Churchyard, Thomas, 1520?-1604.?",6
"Coverdale, Miles, 1488-1568.?",6
Erra Pater.?,6
"Fisher, John, Saint, 1469-1535.?",6
"Goeurot, Jean.?",6
"Hawes, Stephen, d. 1523??",6
"Hutten, Ulrich von, 1488-1523.?",6
Isocrates.?,6
"John XXI, Pope, d. 1277.?",6
"Marcourt, Antoine de, d. ca. 1560.?",6
"Ochino, Bernardino, 1487-1564.?",6
"Tracy, Richard, d. 1569.?",6
"Traheron, Bartholomew, 1510?-1558??",6
Xenophon.?,6
"Askew, Anne, 1521-1546.?",5
"Bernard, of Clairvaux, Saint, 1090 or 91-1153.?",5
"Colet, John, 1467?-1519.?",5
"Cyprian, Saint, Bishop of Carthage.?",5
"Gilby, Anthony, ca. 1510-1585.?",5
"I. B., fl. 1547.?",5
"Ponet, John, 1516?-1556.?",5
"Ridley, Nicholas, 1500?-1555.?",5
"Sarcerius, Erasmus, 1501-1559.?",5
"Shepherd, Luke, fl. 1548.?",5
"Standish, John, 1507?-1570.?",5
"Vergil, Polydore, 1470?-1555.?",5
"Vigo, Giovanni da, 1450?-1525.?",5
Anonymous?,236
England and Wales. Sovereign (1558-1603 : Elizabeth I)?,168
England and Wales.?,109
Church of England.?,87
"Calvin, Jean, 1509-1564.?",44
"Dering, Edward, 1540?-1576.?",37
"Sternhold, Thomas, d. 1549.?",31
"Becon, Thomas, 1512-1567.?",29
"Bäze, ThÇodore de, 1519-1605.?",25
"Fulke, William, 1538-1589.?",24
"Sempill, Robert, 1530?-1595.?",22
"Churchyard, Thomas, 1520?-1604.?",19
"Luther, Martin, 1483-1546.?",19
England.?,18
"Niclaes, Hendrik, 1502?-1580??",17
"Bullinger, Heinrich, 1504-1575.?",16
"Foxe, John, 1516-1587.?",16
"Hill, Thomas, b. ca. 1528.?",15
"Norton, Thomas, 1532-1584.?",15
"Ovid, 43 B.C.-17 or 18 A.D.?",15
