author_name,title_count
"Levinger, Lee J. (Lee Joseph), 1890-1966",1
"Wood, Eric Fisher, 1889-1962",1
"French, John Denton Pinkstone, Earl of Ypres, 1852-1925",1
"Hayes, Clair W. (Clair Wallace), 1887-",1
Various,1
"Knight, Gerald Featherstone, 1894-",1
"Hayes, Clair W. (Clair Wallace), 1887-",1
"Hayes, Clair W. (Clair Wallace), 1887-",1
"Bates, Gordon",1
"Driscoll, James R.",1
"Davidson, Halsey",1
"Appleton, Victor",1
"Fiske, Colonel James",1
"Brazil, Angela, 1869-1947",1
"Kay, Ross",1
"Barbusse, Henri, 1873-1935",1
"Streeter, Edward, 1891-1976",1
Various,1
Various,1
"Laughlin, Clara E. (Clara Elizabeth), 1873-1941",1
"Dyson, Edward, 1865-1931",1
Various,1
"Bernhardi, Friedrich von, 1849-1930",1
"Proctor, H. G.",1
"Klausner, Julius",1
"Cowan, Sam K. (Sam Kinkade), 1869-",1
"Smith, Gipsy, 1860-1947",1
"Keynes, John Maynard, 1883-1946",1
"Aldrich, Mildred, 1853-1928",1
"Raleigh, Walter Alexander, Sir, 1861-1922",1
"Carpenter, Edward, 1844-1929",1
"Dillon, Emile Joseph, 1855-1933",1
"Powell, E. Alexander (Edward Alexander), 1879-1957",1
"Rose, C. A.",1
"Wharton, Edith, 1862-1937",1
"Cable, Boyd, 1878-1943",1
"Hamilton, Ian, Sir, 1853-1947",1
"Ruhl, Arthur, 1876-1935",1
Anonymous,1
"Trayes, Frederic George, 1871-",1
"Goudiss, C. Houston (Charles Houston), 1880-",1
"Goudiss, Alberta M. (Alberta Moorhouse), 1876-",1
"Fraser, Helen",1
"Beck, James M. (James Montgomery), 1861-1936",1
"Wood, William Charles Henry, 1864-1947",1
"Jellicoe, John Rushworth Jellicoe, Earl, 1859-1935",1
"Jephson, Harriet Julia Campbell, Lady",1
"Harvey, Harold",1
"Williams, Albert Rhys, 1883-1962",1
"Yerta, Gabrielle",1
"Yerta, Marguerite",1
"Nobbs, Gilbert",1
"Kahn, Otto Hermann, 1867-1934",1
"Hayes, Clair W. (Clair Wallace), 1887-",1
"Driscoll, James R.",1
"Randall, Homer",1
"Hayes, Clair W. (Clair Wallace), 1887-",1
"Machen, Arthur, 1863-1947",1
"Driscoll, James R.",1
"Hancock, H. Irving (Harrie Irving), 1868-1922",1
"Bell, J. J. (John Joy), 1871-1934",1
"Smart, Hawley, 1833-1893",1
"Streeter, Edward, 1891-1976",1
"Van Dyke, Henry, 1852-1933",1
"Wilson, Woodrow, 1856-1924",1
"Miller, Kelly, 1863-1939",1
"Roberts, Enos Herbert Glynne",1
"BÈnÈzet, Louis Paul, 1878-1961",1
"Marshall, Logan",1
"Serao, Matilde, 1856-1927",1
"Courtney, W. L. (William Leonard), 1850-1928",1
"Dillon, Emile Joseph, 1855-1933",1
"Carpenter, Edward, 1844-1929",1
"King, Georgiana Goddard",1
"MacIntosh, Marian T.",1
"Crawford, Harriet Jean",1
"Vail, Clara Warren",1
"Kidder, Anne Maynard",1
"Lee, Elva",1
"Hardy, Cora Armistead",1
"Giles, Ellen Rose",1
Edith Campbell Crane.,1
L. S. B. S. & G. E. T.,1
"Burke, Kathleen, 1887-1958",1
"Baukhage, Hilmar R. (Hilmar Robert), 1889-",1
"Baldridge, Cyrus Leroy, 1889-1977",1
"Hopkinson, Alfred, Sir, 1851-1939",1
"Holland, Thomas Erskine, Sir, 1835-1926",1
"Griggs, Edward Howard, 1868-1951",1
"Cram, Ralph Adams, 1863-1942",1
"Russell, Thomas Herbert, 1862-1947",1
"Dalton, Hugh Dalton, Baron, 1887-1962",1
"Raemaekers, Louis, 1869-1956",1
"Alencar, JosÈ Martiniano de, 1829-1877",1
"Pina, Rui de, 1440-1521",1
"Castilho, Antonio Feliciano de, 1800-1875",1
"Camıes, Lu√≠s de, 1524?-1580",1
"Barreto, Moniz, 1865-1894",1
"Melo, Joaquim Lopes Carreira de, 1816-1885",1
"Pimentel, Alberto, 1849-1925",1
"Carneiro, DÈcio, 1868-1939",1
"Lima, Jaime de Magalh„es, 1859-1936",1
"EÁa, Vicente de Almeida de, 1852-1929",1
"Garcia, Manuel Em√≠dio, 1838-1904",1
"Alberto da Silva, Caetano, 1843-1924",1
"Sampaio, Diogo de Carvalho e, 1750-1807",1
"Silva, Joaquim PossidÛnio Narciso da, 1806-1896",1
"Herculano, Alexandre, 1810-1877",1
"Braga, Joaquim TeÛfilo Fernandes, 1843-1924",1
"Duhamel du Monceau, Henri-Louis, 1700-1782",1
"Serrano, Bento",1
"Braga, Alberto Leal Barradas Monteiro, 1851-1911",1
"Trueba, AntÛnio de, 1821?-1889",1
"Braga, Alberto Leal Barradas Monteiro, 1851-1911",1
"Silva, Luiz Augusto Rebello da, 1822-1871",1
"Sabugosa, AntÛnio Maria JosÈ de Melo Silva CÈsar e Meneses, conde de, 1854-1923",1
"OsÛrio, Ana de Castro, 1872-1935",1
"Matos, J. J. Rodrigues de",1
Sociedade de Geografia de Lisboa,1
"Costa, Fernandes, 1848-1920",1
"Brito, Gomes de, 1843-1923",1
"Galv„o, Duarte, 1446-1517",1
"Barata, AntÛnio Francisco, 1836-1910",1
"Carvalho, Manuel Em√≠lio Gomes de, 1859-1919",1
"Pina, Rui de, 1440-1521",1
"Viana, Aniceto dos Reis GonÁalves, 1840-1914",1
"Abreu, Guilherme Augusto de Vasconcelos, 1842-1907",1
"Major, Richard Henry, 1818-1891",1
"Villeneuve, Jo„o, -1777",1
"Paiva de Andrada, Joaquim Carlos, 1846-1928",1
"Silva, Jo„o Manuel Pereira da",1
"Castelo Branco, Camilo, 1825-1890",1
"Castelo Branco, Camilo, 1825-1890",1
"Castelo Branco, Camilo, 1825-1890",1
"Castelo Branco, Camilo, 1825-1890",1
"Castelo Branco, Camilo, 1825-1890",1
"Castelo Branco, Camilo, 1825-1890",1
"Bocage, Manuel Maria Barbosa du, 1765-1805",1
"Beir„o, M·rio Pires Gomes, 1890-1965",1
"Carvalho, Xavier de, 1862-1919",1
"Arriaga, Manuel de, 1840-1917",1
Anonymous,1
"Almeida, Nicolau Tolentino de, 1740-1811",1
"Costa, Floriano Alves da, 1825-",1
"Bocage, Manuel Maria Barbosa du, 1765-1805",1
"Boto, AntÛnio Tom·s, 1897-1959",1
"Dumont, J˙lio",1
"Figueiredo, Francisco de Paula de, 1768-1803",1
"Gonzaga, Tom·s AntÛnio, 1744-1810?",1
"Dickens, Charles, 1812-1870",1
"Junqueiro, Ab√≠lio Manuel Guerra, 1850-1923",1
"Leal, AntÛnio Duarte Gomes, 1848-1921",1
"Pascoais, Teixeira de, 1877-1952",1
"Negreiros, JosÈ Sobral de Almada, 1893-1970",1
"Pascoais, Teixeira de, 1877-1952",1
"Leal, AntÛnio Duarte Gomes, 1848-1921",1
"Lima, Jaime de Magalh„es, 1859-1936",1
"Pires, Ernesto, 1857-1884",1
"Pessanha, Camilo Almeida, 1867-1926",1
"Quental, Antero de, 1842-1891",1
"Castelo Branco, Camilo, 1825-1890",1
"Castelo Branco, Camilo, 1825-1890",1
"Lima, Sebasti„o de Magalh„es, 1850-1928",1
"Brand„o, Zephyrino, 1842-1910",1
"Macedo, Diogo de, 1844-",1
"Dinis, J˙lio, 1839-1871",1
"Castelo Branco, Camilo, 1825-1890",1
"Castelo Branco, Camilo, 1825-1890",1
"Pimentel, Alberto, 1849-1925",1
"Dinis, J˙lio, 1839-1871",1
"Dinis, J˙lio, 1839-1871",1
"Mesquita, Marcelino, 1856-1919",1
"Couceiro, Lu√≠s",1
"Bocage, Manuel Maria Barbosa du, 1765-1805",1
"Castelo Branco, Camilo, 1825-1890",1
"Negreiros, JosÈ Sobral de Almada, 1893-1970",1
"Almeida Garrett, Jo„o Batista da Silva Leit„o de, Visconde de, 1799-1854",1
"Perry, Ralph Barton, 1876-1957",1
"Dunsany, Edward John Moreton Drax Plunkett, Baron, 1878-1957",1
"Bell, Clive, 1881-1964",1
"Hoare, Edward N., 1842-",1
"Quiller-Couch, Mabel, 1866?-1924",1
"Gasparin, AgÈnor, comte de, 1810-1871",1
"Burnett, Frances Hodgson, 1849-1924",1
"Buchan, John, 1875-1940",1
"Sidney, Margaret, 1844-1924",1
"Paris, Paulin, 1800-1881",1
"Coster, Charles de, 1827-1879",1
"Kingston, William Henry Giles, 1814-1880",1
"Cautley, G. S.",1
"Exquemelin, A. O. (Alexandre Olivier)",1
"Castelo Branco, Camilo, 1825-1890",1
"Martin, Stuart, Military Historian",1
"Goodridge Roberts, Theodore, 1877-1953",1
"Richards, Robin",1
Canadian War Records Office,1
"Maclean, Norman, 1869-1952",1
"Tappan, Eva March, 1854-1930",1
"Perrault, Charles, 1628-1703",1
"Blackwood, Algernon, 1869-1951",1
"Jacobs, W. W. (William Wymark), 1863-1943",1
"John, the Apostle, Saint",1
"Allen, Grant, 1848-1899",1
"Rathenau, Walther, 1867-1922",1
"Benson, Arthur Christopher, 1862-1925",1
"Clifford, C. R. (Chandler Robbins), 1858-1935",1
"Sinclair, May, 1863-1946",1
"Looy, Jacobus van, 1855-1930",1
"Adeney, Walter F. (Walter Frederic), 1849-1920",1
"Lewis, H. Elvet (Howell Elvet)",1
"Rowland, Alfred, 1840-1925",1
"Greenhough, J. G.",1
"Milligan, George, 1860-1934",1
"Gibbon, J. Morgan",1
"Rowlands, D.",1
"Townsend, W. J. (William John), 1835-1915",1
"Thomas, Cyrus, 1825-1910",1
"Lytton, Edward Bulwer Lytton, Baron, 1803-1873",1
"Blasco Ib·Òez, Vicente, 1867-1928",1
"Henty, G. A. (George Alfred), 1832-1902",1
"Harte, Bret, 1836-1902",1
"Rabelais, FranÁois, 1490?-1553?",1
"Nitobe, Inazo, 1862-1933",1
"Slouschz, Nahum, 1872-1966",1
"Saint-Pierre, Bernardin de, 1737-1814",1
"Twain, Mark, 1835-1910",1
"Oppenheim, E. Phillips (Edward Phillips), 1866-1946",1
"Pepys, Samuel, 1633-1703",1
"Cable, George Washington, 1844-1925",1
"Twain, Mark, 1835-1910",1
"Liu, Guang Wei",1
"Maupassant, Guy de, 1850-1893",1
"Pepys, Samuel, 1633-1703",1
"Andrews, Mary Raymond Shipman, 1860-1936",1
"Orton, George W., 1873-1958",1
"Goodridge Roberts, Theodore, 1877-1953",1
"Murray, David Christie, 1847-1907",1
"Wynne, Arnold, 1880-",1
"Thomas, William Isaac, 1863-1947",1
"Adams, W. H. Davenport (William Henry Davenport), 1828-1891",1
"Friendly, Aunt",1
"Sherley, Douglass, 1857-1917",1
"Chesterton, G. K. (Gilbert Keith), 1874-1936",1
"Leonard, Nellie Mabel",1
"Frost, William Henry, 1863-1902",1
"Birkhead, Alice",1
"Thackeray, William Makepeace, 1811-1863",1
"Leahy, Tom",1
"Crawford, Isabella Valancy, 1850-1887",1
"Pattee, George K., 1879-",1
Various,1
"Bastos, Teixeira, 1857?-1902",1
"Rovetta, Gerolamo, 1854-1910",1
"Bindloss, Harold, 1866-1945",1
"Doubleday, W. E. (William Elliott), 1865-",1
"Bailey, Temple, -1953",1
"Trollope, Anthony, 1815-1882",1
"Green, Anna Katharine, 1846-1935",1
"Pinero, Arthur Wing, Sir, 1855-1934",1
"Ashton, John, 1834-1911",1
"Smith, Francis Hopkinson, 1838-1915",1
Unknown,1
"Avery, Harold, 1867-1943",1
"Amsterdam, Willem van",1
"King, Charles, 1844-1933",1
"Lansdown, Lillian B.",1
"Smith, J. Jay (John Jay), 1798-1881",1
"MacKenzie, Compton, 1883-1972",1
"Black, William, 1841-1898",1
"Lubbock, John, Sir, 1834-1913",1
"Runeberg, Johan Ludvig, 1804-1877",1
"BrontÎ, Emily, 1818-1848",1
"Shoberl, Frederic, 1775-1853",1
"Lazell, Frederick John, 1870-1940",1
"Voltaire, 1694-1778",1
"Romagnoli, Ettore",1
"Nesbit, E. (Edith), 1858-1924",1
"Davis, Richard Harding, 1864-1916",1
"Twain, Mark, 1835-1910",1
"Lavay, Jerome Buell, 1860-",1
"Long, William J. (William Joseph), 1867-1952",1
"MacLean, Katherine, 1925-",1
Various,1
"Plunkitt, George Washington, 1842-1924",1
"Doyle, Arthur Conan, 1859-1930",1
"Chadwick, Lester",1
"Dickens, Charles, 1812-1870",1
"Cao, Xueqin, 1717?-1763",1
Various,1
Ontario. Ministry of Education,1
"Hunt, Thomas Forsyth, 1862-1927",1
"Neto, Henrique Coelho",1
"Bindloss, Harold, 1866-1945",1
"Unamuno, Miguel de, 1864-1936",1
"Zola, …mile, 1840-1902",1
"Adams, Samuel Hopkins, 1871-1958",1
"Nock, Albert Jay",1
"Holmes, Mary Jane, 1825-1907",1
"Lawrence, D. H. (David Herbert), 1885-1930",1
"Whistler, Charles W. (Charles Watts), 1856-1913",1
"Peattie, Elia Wilkinson, 1862-1935",1
"Hume, David, 1711-1776",1
"Marshall, Emma, 1830-1899",1
"Lyman, Henry M.",1
"Pegge, Samuel, 1704-1796",1
"Cody, Sherwin, 1868-1959",1
"Leino, Eino, 1878-1926",1
"Johnston, Henry Phelps, 1842-1923",1
"Wetmore, Helen Cody",1
"Kingston, William Henry Giles, 1814-1880",1
Various,1
"Osborne, Dorothy, 1627-1695",1
"Turgenev, Ivan Sergeevich, 1818-1883",1
"Parton, James, 1822-1891",1
"Morrison, Harry Steele, 1880-",1
